                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0221,                 1.2746,                 1.2125,                 0.6132,                0.59973,                0.64048,                0.45072,                 1.0133,                 1.1261,                 1.1881,             0.00047413,             0.00047413,             0.00047413
                      2,                 1.0799,                 1.3546,                  1.245,                 0.5572,                0.58942,                0.57387,                0.38859,                 1.1256,                 1.2633,                 1.2708,             0.00093164,             0.00093164,             0.00093164
                      3,                 1.1344,                 1.4408,                 1.2802,                0.54885,                0.56428,                0.58056,                0.39629,                 1.0979,                 1.2889,                 1.2443,              0.0013703,              0.0013703,              0.0013703
                      4,                 1.1555,                 1.4737,                 1.2927,                0.53644,                0.58819,                0.55936,                0.37564,                 1.1115,                 1.3176,                 1.2596,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1451,                 1.4697,                 1.2919,                0.49746,                0.59249,                0.53538,                0.35811,                 1.1515,                 1.3722,                 1.2936,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1276,                 1.4475,                 1.2827,                 0.4785,                0.57591,                0.53003,                0.35123,                 1.1418,                 1.4405,                 1.2976,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1385,                 1.4558,                 1.2878,                0.51996,                0.60389,                0.57516,                0.38595,                 1.1088,                  1.308,                   1.26,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1235,                 1.4296,                 1.2717,                0.52125,                0.58873,                0.56972,                0.38506,                 1.0972,                 1.3329,                  1.244,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1184,                 1.4123,                 1.2682,                0.54461,                0.59346,                0.58146,                0.39612,                  1.095,                 1.2704,                 1.2527,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1224,                 1.4143,                 1.2774,                0.47829,                0.58452,                0.53919,                0.35721,                 1.1557,                   1.38,                 1.2924,              0.0011744,              0.0011744,              0.0011744
