                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2123,                 1.7444,                 1.3323,                0.41665,                0.53448,                0.41118,                0.24856,                 1.3137,                 1.6374,                 1.3854,             0.00047413,             0.00047413,             0.00047413
                      2,                 1.2807,                 1.8023,                 1.3772,                 0.3722,                0.53272,                0.38461,                0.23029,                 1.3507,                 1.7407,                 1.4298,              0.0009191,              0.0009191,              0.0009191
                      3,                 1.3387,                 1.8661,                 1.4224,                0.29556,                0.55871,                0.29002,                0.16053,                 1.4725,                 2.1717,                 1.5559,              0.0013326,              0.0013326,              0.0013326
                      4,                 1.3531,                 1.8764,                 1.4369,                0.35926,                 0.4689,                0.34883,                0.20028,                  1.423,                 2.0539,                 1.5006,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.3375,                 1.8409,                 1.4275,                0.39272,                0.56908,                0.40633,                 0.2486,                 1.3071,                 1.7433,                 1.4216,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.3128,                 1.7962,                 1.4117,                0.40237,                0.52647,                0.42537,                0.26461,                 1.2846,                 1.6442,                 1.3945,              0.0011932,              0.0011932,              0.0011932
                      7,                  1.302,                 1.7679,                 1.4019,                0.40321,                0.54226,                0.43963,                0.27473,                 1.2374,                 1.5826,                 1.3474,              0.0011461,              0.0011461,              0.0011461
                      8,                  1.265,                 1.7064,                 1.3783,                0.43739,                0.52563,                0.47023,                0.29794,                 1.1998,                 1.5201,                 1.3268,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.2552,                 1.6779,                 1.3662,                0.45478,                0.56884,                0.49325,                0.32404,                 1.1653,                  1.442,                  1.306,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.2359,                 1.6603,                 1.3637,                0.44773,                0.58564,                0.49055,                0.32425,                 1.1624,                 1.3945,                 1.3047,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.2094,                 1.6083,                 1.3458,                0.47512,                0.59682,                 0.4982,                  0.325,                 1.1641,                   1.41,                 1.3139,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.1951,                  1.579,                 1.3327,                0.49148,                0.57584,                0.53087,                0.35125,                 1.1139,                 1.3307,                 1.2821,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.1775,                 1.5485,                 1.3199,                0.50199,                0.57947,                0.54774,                0.36925,                 1.1205,                 1.3086,                 1.2597,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.1669,                 1.5449,                 1.3129,                 0.5163,                0.57002,                0.54305,                0.36103,                 1.1391,                 1.3479,                 1.2727,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.1561,                 1.5131,                 1.3014,                0.53842,                0.58522,                0.57045,                0.39223,                 1.0776,                  1.261,                 1.2342,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.1387,                 1.4789,                 1.2901,                0.53625,                0.60709,                0.57001,                0.37993,                 1.1103,                 1.2634,                 1.2594,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.1285,                 1.4464,                 1.2827,                0.55307,                0.58173,                0.57503,                0.39877,                   1.06,                  1.262,                 1.2259,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.1145,                 1.4333,                 1.2775,                0.57704,                 0.6054,                0.60012,                0.41667,                 1.0521,                 1.1908,                 1.2081,             0.00062733,             0.00062733,             0.00062733
                     19,                  1.087,                 1.4322,                 1.2608,                0.57182,                0.62069,                0.59983,                0.41891,                 1.0324,                  1.194,                 1.2037,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.0847,                 1.4015,                 1.2557,                0.56914,                0.61741,                0.61158,                0.43548,                 1.0015,                 1.1559,                  1.182,             0.00053302,             0.00053302,             0.00053302
                     21,                0.99987,                 1.2148,                 1.2146,                0.56826,                0.61413,                0.62356,                0.44045,                  1.025,                 1.1593,                 1.2038,             0.00048586,             0.00048586,             0.00048586
                     22,                0.97237,                 1.1691,                 1.2033,                0.57067,                 0.6368,                0.62572,                0.44659,                  1.001,                 1.1435,                 1.1961,              0.0004387,              0.0004387,              0.0004387
                     23,                0.95962,                 1.1532,                 1.1961,                0.60129,                0.61491,                 0.6386,                0.45649,                0.98653,                 1.1161,                 1.1766,             0.00039155,             0.00039155,             0.00039155
                     24,                0.94393,                 1.1117,                 1.1827,                0.59764,                0.63863,                0.64625,                0.46524,                0.97441,                 1.0862,                 1.1696,             0.00034439,             0.00034439,             0.00034439
